extDB2: Version: 70
extDB2: https://github.com/Torndeco/extDB2
extDB2: Windows Version
Message: All development for extDB2 is done on a Linux Dedicated Server
Message: If you would like to Donate to extDB2 Development
Message: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=2SUEFTGABTAM2
Message: Also leave a message if there is any particular feature you would like to see added.
Message: Thanks for all the people that have donated.
Message: Torndeco: 20/02/15


extDB2: Found extdb-conf.ini
extDB2: Detected 8 Cores, Setting up 6 Worker Threads


[03:08:55:439117 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:SHUTDOWN
[03:08:55:439131 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:SHUTDOWN
[03:08:56:683698 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:ADD_DATABASE_PROTOCOL:exile:SQL_CUSTOM_V2:146007:exile
[03:08:56:683772 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:SHUTDOWN
[03:08:56:683785 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:SHUTDOWN
[03:08:57:934913 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:ADD_DATABASE_PROTOCOL:exile:SQL_CUSTOM_V2:329738:exile
[03:08:57:934991 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:SHUTDOWN
[03:08:57:935005 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:SHUTDOWN
[03:08:59:302991 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:ADD_DATABASE_PROTOCOL:exile:SQL_CUSTOM_V2:746458:exile
[03:08:59:303108 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:SHUTDOWN
[03:08:59:303128 +02:00] [Thread 23532] extDB2: Error Invalid Format: 9:SHUTDOWN
[03:09:02:322786 +02:00] [Thread 23532] extDB2: Stopping ...
